episode,timestep,reward
70,2000,42.1334
141,4000,41.9877
212,6000,45.6661
283,8000,41.7731
353,10000,45.9115
423,12000,42.262
490,14000,41.6587
561,16000,45.4073
631,18000,45.0275
700,20000,42.7076
769,22000,45.4402
839,24000,42.6046
911,26000,43.4354
983,28000,45.3424
1055,30000,48.0378
1126,32000,47.1945
1195,34000,50.4848
1268,36000,48.3534
1338,38000,49.0642
1407,40000,47.804
1478,42000,48.8313
1550,44000,46.4493
1620,46000,47.4489
1690,48000,49.4818
1758,50000,51.0441
1827,52000,51.5666
1897,54000,50.0277
1970,56000,48.2725
2040,58000,52.1989
2110,60000,53.7858
2180,62000,51.2267
2253,64000,51.2562
2321,66000,56.2312
2390,68000,51.1923
2462,70000,51.6448
2533,72000,52.0405
2603,74000,53.203
2671,76000,54.7326
2742,78000,53.0983
2814,80000,52.0483
2888,82000,53.473
2958,84000,49.8663
3026,86000,53.0849
3097,88000,54.0447
3168,90000,55.3537
3238,92000,54.205
3307,94000,55.6985
3377,96000,57.5788
3445,98000,58.909
3512,100000,56.2288
3583,102000,56.1972
3652,104000,57.3185
3725,106000,52.9196
3793,108000,60.4542
3860,110000,58.9558
3928,112000,58.3178
3995,114000,59.5045
4066,116000,56.7546
4134,118000,58.4431
4204,120000,57.5175
4270,122000,60.7836
4341,124000,57.5273
4409,126000,58.4127
4478,128000,61.125
4546,130000,60.5258
4615,132000,59.7372
4683,134000,62.0113
4751,136000,60.2773
4819,138000,59.199
4890,140000,60.3877
4959,142000,62.4116
5026,144000,59.4227
5094,146000,62.2771
5162,148000,62.3097
5231,150000,60.4044
5302,152000,60.8853
5371,154000,62.7683
5441,156000,62.0214
5510,158000,60.8772
5576,160000,62.688
5648,162000,60.7679
5716,164000,63.5871
5786,166000,62.2472
5855,168000,63.1188
5925,170000,61.545
5992,172000,65.2994
6062,174000,62.6152
6129,176000,66.0467
6198,178000,65.0794
6266,180000,65.6765
6334,182000,64.6816
6400,184000,68.6373
6469,186000,65.5437
6537,188000,63.8965
6605,190000,66.1374
6674,192000,66.1081
6741,194000,69.6004
6809,196000,68.6041
6877,198000,67.457
6943,200000,67.0075
7009,202000,67.6019
7075,204000,70.4104
7142,206000,67.4626
7210,208000,66.334
7276,210000,67.3581
7342,212000,69.531
7408,214000,68.7993
7476,216000,66.8959
7544,218000,68.2115
7612,220000,69.1901
7676,222000,70.061
7741,224000,68.3487
7806,226000,71.1027
7874,228000,67.3062
7939,230000,71.7196
8004,232000,70.9031
8071,234000,69.7988
8137,236000,69.9415
8202,238000,73.1479
8266,240000,71.4715
8332,242000,72.2827
8400,244000,69.0277
8465,246000,71.3998
8532,248000,69.9122
8600,250000,69.3349
8665,252000,70.9135
8734,254000,68.4939
8799,256000,72.2997
8864,258000,72.7434
8931,260000,71.3676
8999,262000,71.0012
9064,264000,72.3421
9130,266000,70.9803
9196,268000,72.8202
9262,270000,74.5893
9329,272000,71.5356
9393,274000,72.4516
9459,276000,70.2477
9525,278000,72.9479
9589,280000,74.8451
9655,282000,71.0762
9722,284000,70.5545
9787,286000,73.5232
9851,288000,71.9858
9916,290000,74.4132
9983,292000,70.8842
10048,294000,71.9483
10114,296000,74.5574
10178,298000,73.0559
10244,300000,73.081
10308,302000,75.9744
10373,304000,75.5465
10438,306000,74.2688
10504,308000,75.0602
10569,310000,73.7084
10635,312000,72.9174
10702,314000,72.6178
10767,316000,75.0107
10835,318000,70.3035
10900,320000,74.2718
10966,322000,74.7993
11032,324000,76.3365
11096,326000,78.1567
11160,328000,78.7075
11227,330000,75.1989
11293,332000,75.9069
